================================================================
   PREDATOR X — AUTHORIZATION CHAIN BACKFILL
================================================================
Dossiers needing backfill: 5592 | Dry-run: False
----------------------------------------------------------------
  Re-running PRV_NOV_003875fb through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_003875fb.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_00533b16 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_00533b16.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_007746ff through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_007746ff.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_01e04c89 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_01e04c89.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_028dc6ee through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_028dc6ee.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_02ee44cb through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_02ee44cb.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_03e869ad through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_03e869ad.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_065eab03 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_065eab03.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_06e285d3 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_06e285d3.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_07c60375 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_07c60375.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_07e79407 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_07e79407.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_0935561e through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_0935561e.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_09d2b8d9 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_09d2b8d9.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_0a81d9c8 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_0a81d9c8.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_0b76c9aa through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_0b76c9aa.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_0c33cb6d through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_0c33cb6d.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_0d5a93e4 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_0d5a93e4.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_0e00af4a through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_0e00af4a.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_0f03dbbe through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_0f03dbbe.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_0f55a065 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_0f55a065.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_0f64b458 through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_0f64b458.json (auth=9/11, grade=REJECTED)
  Re-running PRV_NOV_0f95ac5f through 12-engine pipeline... OK -> E:\foundation\PX_Warehouse\Novel_Dossiers\Bronze\PRV_NOV_0f95ac5f.json (auth=9/11, grade=REJECTED)
