nct_id,intervention_name,intervention_type,condition,phase,overall_status,sponsor,smiles
NCT04427072,Capmatinib,DRUG,"Carcinoma, Non-Small-Cell Lung",phase3,TERMINATED,Novartis Pharmaceuticals,
NCT04427072,Docetaxel,DRUG,"Carcinoma, Non-Small-Cell Lung",phase3,TERMINATED,Novartis Pharmaceuticals,
NCT04515472,Botnia Clamp,DRUG,Transgender Persons,early_phase1,TERMINATED,The University of Texas Health Science Center at San Antonio,
NCT04515472,Withdrawal of Gender Affirming Hormone Therapy (GAHT),OTHER,Transgender Persons,early_phase1,TERMINATED,The University of Texas Health Science Center at San Antonio,
NCT00316212,INS50589 Intravenous Infusion,DRUG,Coronary Disease,phase2,TERMINATED,Merck Sharp & Dohme LLC,
NCT01511081,SBRT (stereotactic body radiotherapy),RADIATION,Non-small-cell Lung Cancer,phase2,TERMINATED,M.D. Anderson Cancer Center,
NCT01511081,SBPT (stereotactic body proton therapy),RADIATION,Non-small-cell Lung Cancer,phase2,TERMINATED,M.D. Anderson Cancer Center,
NCT01882465,etafilcon A,DEVICE,Refractive Error,na,TERMINATED,"Johnson & Johnson Vision Care, Inc.",
NCT01882465,"2-HEMA, EGDMA Non-ionic",DEVICE,Refractive Error,na,TERMINATED,"Johnson & Johnson Vision Care, Inc.",
NCT01882465,hefilcon A,DEVICE,Refractive Error,na,TERMINATED,"Johnson & Johnson Vision Care, Inc.",
NCT03598907,Fresh frozen plasma,OTHER,Lung Transplantation,na,TERMINATED,"University Hospital, Motol",
NCT03542071,Carbohydrate restricted diet,OTHER,"Diabetes, Gestational; Dietary Modification; Tissue Glucose; Body Composition; Birth Weight",na,TERMINATED,Helsinki University Central Hospital,
NCT03542071,Plant-protein based diet,OTHER,"Diabetes, Gestational; Dietary Modification; Tissue Glucose; Body Composition; Birth Weight",na,TERMINATED,Helsinki University Central Hospital,
NCT01341444,Prevena Incision Management System,DEVICE,Surgical Site Reaction,na,TERMINATED,"KCI USA, Inc",
NCT01341444,Standard of Care for Surgical Incisions,OTHER,Surgical Site Reaction,na,TERMINATED,"KCI USA, Inc",
NCT00811434,Lactulose,DRUG,Minimal Hepatic Encephalopathy,phase2,TERMINATED,Indiana University,
NCT00811434,placebo,DRUG,Minimal Hepatic Encephalopathy,phase2,TERMINATED,Indiana University,
NCT03053934,Online video-based counselling,BEHAVIORAL,Videoconferencing,na,TERMINATED,Swinburne University of Technology,
NCT03053934,Traditional in-person counselling,BEHAVIORAL,Videoconferencing,na,TERMINATED,Swinburne University of Technology,
NCT03970109,ANS-6637,DRUG,Alcohol Use Disorder,phase2,TERMINATED,National Institute on Alcohol Abuse and Alcoholism (NIAAA),
NCT03970109,Placebo oral tablet,DRUG,Alcohol Use Disorder,phase2,TERMINATED,National Institute on Alcohol Abuse and Alcoholism (NIAAA),
NCT04975399,CC-92328,DRUG,Multiple Myeloma,phase1,TERMINATED,Celgene,
NCT03199963,4-OH tamoxifen,DRUG,Mammographic Breast Density,phase3,TERMINATED,"BHR Pharma, LLC",
NCT03199963,Placebo,DRUG,Mammographic Breast Density,phase3,TERMINATED,"BHR Pharma, LLC",
NCT00997087,Flumazenil,DRUG,Obsessive Compulsive Disorder,phase2,TERMINATED,Parkway Medical Center,
NCT02176187,Berodual® Respimat® inhaler,DRUG,"Pulmonary Disease, Chronic Obstructive",phase3,TERMINATED,Boehringer Ingelheim,
NCT02176187,Berodual® metered dose inhaler,DRUG,"Pulmonary Disease, Chronic Obstructive",phase3,TERMINATED,Boehringer Ingelheim,
NCT05813314,BMN 111 administration via Injector Pen,OTHER,Achondroplasia,phase1,TERMINATED,BioMarin Pharmaceutical,
NCT05813314,BMN 111 administration via vial and syringe,DRUG,Achondroplasia,phase1,TERMINATED,BioMarin Pharmaceutical,
NCT02246114,piCO+ Smokerlyzer® monitor,DEVICE,Pregnancy; Smoking; Smoking Cessation,na,TERMINATED,Milton S. Hershey Medical Center,
NCT02246114,Text messages,OTHER,Pregnancy; Smoking; Smoking Cessation,na,TERMINATED,Milton S. Hershey Medical Center,
NCT03817606,Tritanium Posterior Lumbar Cage,DEVICE,Degenerative Disc Disease; Degenerative Scoliosis,na,TERMINATED,Riverside Medical Center,
NCT03817606,AVS UniLIF PEEK Posterior Lumbar Cage,DEVICE,Degenerative Disc Disease; Degenerative Scoliosis,na,TERMINATED,Riverside Medical Center,
NCT00321204,TZD reducing the incidence of atrial arrhythmias,PROCEDURE,Atrial Fibrillation,na,TERMINATED,Emory University,
NCT00659204,Silver Nanoparticle Gel,DRUG,Healthy,phase3,TERMINATED,Madigan Army Medical Center,
NCT00659204,alcohol-based hand gel,DRUG,Healthy,phase3,TERMINATED,Madigan Army Medical Center,
NCT00462904,BPI,DRUG,Burns,phase2,TERMINATED,University of Texas Southwestern Medical Center,
NCT02671084,sevoflurane,DRUG,Myocardial Infarction,phase4,TERMINATED,Instituto Dante Pazzanese de Cardiologia,
NCT05589506,Removable partial denture PEEK,DEVICE,Prosthesis Survival,na,TERMINATED,Malo Clinic,
NCT03496584,Pomegranate Juice,OTHER,Erythema; Inflammation,na,TERMINATED,"University of California, Los Angeles",
NCT03496584,Placebo Juice,OTHER,Erythema; Inflammation,na,TERMINATED,"University of California, Los Angeles",
NCT01542047,Carboplatin,DRUG,"Cancer, Metastatic",phase1,TERMINATED,New Mexico Cancer Research Alliance,
NCT01542047,Pazopanib,DRUG,"Cancer, Metastatic",phase1,TERMINATED,New Mexico Cancer Research Alliance,
NCT04601857,Futibatinib,DRUG,Advanced and Metastatic Urothelial Cancer,phase2,TERMINATED,"Taiho Oncology, Inc.",
NCT04601857,Pembrolizumab,DRUG,Advanced and Metastatic Urothelial Cancer,phase2,TERMINATED,"Taiho Oncology, Inc.",
NCT05746481,Tiragolumab,DRUG,Non-small Cell Lung Cancer,phase2,TERMINATED,"Liza Villaruz, MD",
NCT05746481,Atezolizumab,DRUG,Non-small Cell Lung Cancer,phase2,TERMINATED,"Liza Villaruz, MD",
NCT05746481,Pemetrexed,DRUG,Non-small Cell Lung Cancer,phase2,TERMINATED,"Liza Villaruz, MD",
NCT05746481,Carboplatin,DRUG,Non-small Cell Lung Cancer,phase2,TERMINATED,"Liza Villaruz, MD",
NCT00991965,INFUSE® Bone Graft,DEVICE,Alveolar Bone Loss,na,TERMINATED,Medtronic Spinal and Biologics,
NCT02592707,Satoreotide tetraxetan,DRUG,Neuroendocrine Tumors,phase1; phase2,TERMINATED,Ipsen,
NCT02592707,Amino acid solution,OTHER,Neuroendocrine Tumors,phase1; phase2,TERMINATED,Ipsen,
NCT02592707,Antiemetic,OTHER,Neuroendocrine Tumors,phase1; phase2,TERMINATED,Ipsen,
NCT03108911,Best Practice,OTHER,Acute Myeloid Leukemia,phase2,TERMINATED,"Rutgers, The State University of New Jersey",
NCT03108911,Biospecimen Collection,PROCEDURE,Acute Myeloid Leukemia,phase2,TERMINATED,"Rutgers, The State University of New Jersey",
NCT03108911,Dietary Intervention,OTHER,Acute Myeloid Leukemia,phase2,TERMINATED,"Rutgers, The State University of New Jersey",
NCT03108911,Laboratory Biomarker Analysis,OTHER,Acute Myeloid Leukemia,phase2,TERMINATED,"Rutgers, The State University of New Jersey",
NCT03724409,[90]Y-DOTATOC,DRUG,Neuroendocrine Tumors,early_phase1,TERMINATED,Sandeep Laroia,
NCT04336332,Hydroxychloroquine Sulfate + Azithromycin,OTHER,SARS-CoV-2; COVID-19,phase2,TERMINATED,"Rutgers, The State University of New Jersey",
NCT04336332,Hydroxychloroquine Sulfate,DRUG,SARS-CoV-2; COVID-19,phase2,TERMINATED,"Rutgers, The State University of New Jersey",
NCT04601532,Catasyn™ Advanced Technology Hydrogel and SynePure™ Wound Cleanser,DEVICE,Superficial Partial Thickness Burn,phase4,TERMINATED,"J. Peter Rubin, MD",
NCT04601532,Silver Sulfadiazine,DRUG,Superficial Partial Thickness Burn,phase4,TERMINATED,"J. Peter Rubin, MD",
NCT03717532,Placebo,PROCEDURE,Patellofemoral Pain Syndrome,na,TERMINATED,NYU Langone Health,
NCT03717532,Personalized Tourniquet System for Blood Flow Restriction,PROCEDURE,Patellofemoral Pain Syndrome,na,TERMINATED,NYU Langone Health,
NCT03861598,Carvedilol,DRUG,Glioblastoma Multiforme; Glioblastoma,early_phase1,TERMINATED,West Virginia University,
NCT02341963,Oral Ketamine,DRUG,"Acute Pain Management; Analgesic, Nonopioid; Amputation of Lower Extremity, All Causes",phase1,TERMINATED,Rush University Medical Center,
