ncats_id,name,smiles,status,atc,mechanism
RNE1V1F9O1,STEMREGENIN1,,approved,,
1806D8D52K,AMITRIPTYLINE,,approved,,
V8G4MOF2V9,DEFERASIROX,,approved,,
9ZS94HQO3B,PERAMIVIR ANHYDROUS,,approved,,
37A4IES95Q,CEFTOLOZANE,,approved,,
DE54EQW8T1,DASABUVIR,,approved,,
WOH1JD9AR8,OLAPARIB,,approved,,
D26OSN9Q4R,FINAFLOXACIN,,approved,,
D7NLD2JX7U,PIRFENIDONE,,approved,,
G6HRD2P839,NINTEDANIB,,approved,,
013TE6E4WV,LEDIPASVIR,,approved,,
44T7335BKE,NALOXEGOL,,approved,,
DR40J4WA67,ELIGLUSTAT,,approved,,
081L192FO9,SUVOREXANT,,approved,,
HDC1R2M35U,EMPAGLIFLOZIN,,approved,,
VD2YSN1AFD,OLODATEROL,,approved,,
YG57I8T5M0,IDELALISIB,,approved,,
K124A4EUQ3,TAVABOROLE,,approved,,
F4H96P17NZ,BELINOSTAT,,approved,,
O7DRJ6R4DW,TEDIZOLID PHOSPHATE,,approved,,
J82SB7FXWB,EFINACONAZOLE,,approved,,
ZCE93644N2,VORAPAXAR,,approved,,
K418KG2GET,CERITINIB,,approved,,
53EY29W7EC,MILTEFOSINE,,approved,,
X4W3ENH1CV,NOREPINEPHRINE,,approved,,
SHS4PU80D9,TASIMELTEON,,approved,,
GE2T1418SV,UMECLIDINIUM,,approved,,
WJ6CA3ZU8B,SOFOSBUVIR,,approved,,
9WS5RD66HZ,SIMEPREVIR,,approved,,
1X70OSD4VX,IBRUTINIB,,approved,,
S5VXA428R4,ESLICARBAZEPINE,,approved,,
L49M066S0O,FLUTEMETAMOL F-18,,approved,,
Z9K9Y9WMVL,MACITENTAN,,approved,,
RU3FE2Y4XI,RIOCIGUAT,,approved,,
Q16TT9C5BK,BAZEDOXIFENE,,approved,,
3O2K1S3WQV,VORTIOXETINE,,approved,,
DKO1W9H7M1,DOLUTEGRAVIR,,approved,,
41UD74L59M,AFATINIB,,approved,,
33E86K87QN,TRAMETINIB,,approved,,
QGP4HA4G1B,DABRAFENIB,,approved,,
028LZY775B,VILANTEROL,,approved,,
