chembl_id,pref_name,canonical_smiles,status,targets,mechanism_of_action
CHEMBL6329,,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl,investigational,,
CHEMBL6328,,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(C#N)cc1,investigational,,
CHEMBL265667,,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(O)c1ccc(Cl)cc1,investigational,,
CHEMBL6362,,Cc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,investigational,,
CHEMBL267864,,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1,investigational,,
CHEMBL6363,,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1,investigational,,
CHEMBL6352,,Cc1cc(Br)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,investigational,,
CHEMBL268097,,O=C(c1ccc(Cl)cc1Cl)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,investigational,,
CHEMBL266457,,CS(=O)(=O)c1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,investigational,,
CHEMBL268556,,c1cc2cc(c1)-c1cccc(c1)C[n+]1ccc(c3ccccc31)NCCCCCCCCCCNc1cc[n+](c3ccccc13)C2,investigational,,
CHEMBL6214,,CSc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1,investigational,,
CHEMBL6222,,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,investigational,,
CHEMBL6206,BROMOENOL LACTONE,O=C1O/C(=C/Br)CCC1c1cccc2ccccc12,investigational,,
CHEMBL6223,,O=C1O/C(=C/I)CCC1c1cccc2ccccc12,investigational,,
CHEMBL269758,,C#C/C=C1\CCC(c2cccc3ccccc23)C(=O)O1,investigational,,
CHEMBL6228,,O=C1O/C(=C\I)CCC1c1cccc2ccccc12,investigational,,
