zinc_id,name,smiles,catalog
zinc_id,,smiles,ZINC20
4371221,,CO[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O,ZINC20
34310585,,C[S@@](=O)CC(N)=O,ZINC20
1843030,,NC(=O)N[C@@H]1NC(=O)NC1=O,ZINC20
1847417,,O=c1[nH]c(O)c(O)c(=O)[nH]1,ZINC20
9256947,,NC(=O)CN1CCC(N)CC1,ZINC20
19844301,,CNC(=O)c1n[nH]c(N)n1,ZINC20
26507110,,NCc1cc(=O)[nH]c(O)n1,ZINC20
63014624,,CS(=O)(=O)CCCNN,ZINC20
242677143,,NC(=O)[C@H]1[C@H]2C=C[C@@H](O2)[C@@H]1N,ZINC20
104591586,,N[C@@H](CO)C(=O)NCCO,ZINC20
238310355,,CNS(=O)(=O)C[C@@H]1CNCCO1,ZINC20
55860,,O=c1[nH]cc(N2CCOCC2)c(=O)[nH]1,ZINC20
1651868,,NCCOCCOCCN,ZINC20
44594710,,CS(=O)(=O)CCS(N)(=O)=O,ZINC20
160854167,,NS(=O)(=O)NC1CCOCC1,ZINC20
1532166,,CN1C(=O)NC(=O)C1=O,ZINC20
32098738,,COC(=O)[C@H](N)CC(N)=O,ZINC20
38251012,,NCCS(=O)(=O)CCO,ZINC20
2251996,,O=C1N[C@@H]2NC(=O)N(CCO)[C@H]2N1,ZINC20
71786849,,O=C1O[C@@H]2C[C@@]1(O)C[C@H](O)[C@@H]2O,ZINC20
1532571,,O=C(O)C(=O)C[C@@H](O)[C@@H](O)CO,ZINC20
35100900,,CC(=O)NCCC(=O)NCCO,ZINC20
39064903,,Cn1nc(CN)cc1C(N)=O,ZINC20
160168213,,CNS(=O)(=O)NCCCN,ZINC20
306937672,,O=C(O)C12CNCC1CNC2,ZINC20
409423317,,NCCc1nnc2c(=O)[nH]ccn12,ZINC20
902219,,O=C(CO)[C@@H](O)[C@@H](O)CO,ZINC20
16969122,,Cn1ncc2c(=O)[nH]c(NN)nc21,ZINC20
4204973,,O=C1NCCN[C@]1(O)C(F)(F)F,ZINC20
12958520,,NNc1n[nH]c(=S)n1N,ZINC20
16889989,,Nc1nc(N)n2c(N)nnc2n1,ZINC20
34413647,,N[C@@H]1CNC[C@H]1O,ZINC20
34426550,,COC[C@H](N)CN,ZINC20
42191848,,CNCc1nnn[nH]1,ZINC20
45285524,,O=C(O)CNC(=O)CC(=O)O,ZINC20
1682447,,COC(=O)[C@@H](O)[C@H](O)C(=O)O,ZINC20
73836680,,CCNC(CO)CO,ZINC20
96024984,,CN1CCOC(CO)(CO)C1=O,ZINC20
901232,,O=C(CO)[C@H](O)CO,ZINC20
1532852,,N[C@@H](CCOP(=O)(O)O)C(=O)O,ZINC20
3668823,,CC(=O)N[C@@H](O)[C@H](O)NC(C)=O,ZINC20
13551284,,O[C@@H]1[C@@H](O)[C@H](O)C=C[C@H]1O,ZINC20
18044615,,O=c1[nH]c(=O)[nH]c(=O)[nH]1,ZINC20
57218621,,NC(=O)CCNC(=O)CCC(N)=O,ZINC20
1775956576,,COC(=O)[C@](C)(O)[C@@](C)(O)C(=O)O,ZINC20
1558643,,NCC(=O)CN,ZINC20
2384201,,NC[C@H](O)[C@H](O)CN,ZINC20
19503746,,NS(=O)(=O)NC[C@@H]1CCCNC1,ZINC20
197586702,,OC[C@@H]1NC[C@H]2CNC[C@H]21,ZINC20
4298576,,O=C(O)CN[C@H]1C=CS(=O)(=O)C1,ZINC20
711217083,,O[C@@]1(c2nn[nH]n2)CCNC1,ZINC20
6523906,,N=C(N)Nc1nc(N)nc(N)n1,ZINC20
19366965,,COC(=O)[C@H](N)CN,ZINC20
1041345,,CO[C@H]1OC[C@H](O)[C@H](O)[C@H]1O,ZINC20
37870616,,NC(=O)[C@H](N)[C@@H]1CCOC1,ZINC20
3860468,,N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,ZINC20
39125626,,O=C(O)[C@H](O)[C@H](F)C(=O)O,ZINC20
50976959,,NC(=O)[C@H](O)[C@H]1CCOC1,ZINC20
72314731,,CN1C(=O)[C@@H]2CNCCN2C1=O,ZINC20
238809258,,NS(N)(=O)=O,ZINC20
1692815,,NC(=O)C1(C(N)=O)CC1,ZINC20
34370327,,NCC(CN)(CN)CO,ZINC20
39401552,,C[C@]1(CN)NC(=O)NC1=O,ZINC20
1575495,,C[C@H](N)C(=O)N[C@H](C)C(=O)O,ZINC20
2263862,,COC[C@@H](O)CN,ZINC20
